#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Playtime (Median),Developer(s),Publisher(s),Genre
1097,Fishing Planet,"Aug 28, 2017",Free,36% (75%),"2,964,515 ±55,765",12:21 (00:45),Fishing Planet LLC,Fishing Planet LLC,Simulation
30,FTL: Faster Than Light,"Sep 14, 2012",$9.99,95% (96%/84%),"2,912,680 ±55,278",28:19 (10:54),Subset Games,Subset Games,Simulation
2735,World of Guns: Gun Disassembly,"May 21, 2014",Free,48% (81%),"2,775,924 ±53,973",03:19 (00:37),Noble Empire Corp.,Noble Empire Corp.,Simulation
1003,7 Days to Die,"Dec 13, 2013",$24.99,48% (81%),"2,766,550 ±53,882",82:12 (16:10),The Fun Pimps,The Fun Pimps Entertainment LLC,Simulation
44,Prison Architect,"Oct 6, 2015",$29.99,85% (93%/83%),"2,432,656 ±50,543",31:08 (11:14),Introversion Software,Introversion Software,Simulation
250,Guns of Icarus Online,"Oct 29, 2012",$4.99,85% (93%/64%),"2,396,537 ±50,168",10:38 (03:32),Muse Games,Muse Games,Simulation
45,This War of Mine,14/11/14,$19.99,92% (95%/83%),"2,391,574 ±50,117",13:27 (05:23),11 bit studios,11 bit studios,Simulation
96,Tropico 4,"Sep 1, 2011",$14.99,77% (91%/78%),"2,368,965 ±49,880",19:32 (04:19),Haemimont Games,Kalypso Media Digital,Simulation
2917,Space Engineers,"Oct 23, 2013",$24.99,67% (88%),"2,362,348 ±49,811",55:44 (08:50),Keen Software House,Keen Software House,Simulation
59,Age of Empires III: Complete Collection,05/01/12,$39.99,67% (88%/81%),"2,304,723 ±49,202",26:52 (05:28),Ensemble Studios,Microsoft Studios,Simulation
125,Star Conflict,"Feb 27, 2013",Free,40% (77%/75%),"2,272,188 ±48,856",17:50 (01:17),Star Gem Inc.,Gaijin Entertainment,Simulation
3291,Mitos.is: The Game,29/07/15,Free,51% (82%),"2,129,367 ±47,302",10:11 (01:06),Freakinware Studios,Freakinware Studios,Simulation
2819,Besiege,28/01/15,$7.99,92% (95%),"2,065,952 ±46,595",11:50 (03:45),Spiderling Studios,Spiderling Studios,Simulation
2931,Red Crucible: Firestorm,"Dec 22, 2015",Free,15% (59%),"2,022,113 ±46,100",02:54 (00:24),"Rocketeer Games Studio, LLC","Rocketeer Games Studio, LLC",Simulation
9,Kerbal Space Program,"Apr 27, 2015",$39.99,92% (95%/88%),"2,007,224 ±45,931",72:07 (15:02),Squad,Squad,Simulation
2281,Banished,"Feb 18, 2014",$19.99,74% (90%),"1,948,220 ±45,254",33:28 (11:40),Shining Rock Software LLC,Shining Rock Software LLC,Simulation
641,SNOW,"Oct 10, 2013",Free,31% (72%),"1,935,262 ±45,103",03:58 (00:28),Poppermost Productions,Poppermost Productions,Simulation
32,SPORE,"Dec 19, 2008",$19.99,67% (88%/84%),"1,921,200 ±44,940",18:09 (06:55),Maxis™,Electronic Arts,Simulation
177,Surgeon Simulator,"Apr 19, 2013",$9.99,53% (83%/71%),"1,812,567 ±43,656",03:45 (01:54),Bossa Studios,Bossa Studios,Simulation
1924,DCS World,"Aug 2, 2013",Free,42% (78%),"1,799,333 ±43,497",04:57 (00:09),Eagle Dynamics SA,The Fighter Collection,Simulation
632,Emily is Away,20/11/15,Free,67% (88%),"1,788,304 ±43,364",01:24 (00:41),Kyle Seeley,Kyle Seeley,Simulation
817,Plague Inc: Evolved,"Feb 18, 2016",$14.99,85% (93%),"1,623,425 ±41,323",10:12 (05:15),Ndemic Creations,Ndemic Creations,Simulation
47,Crusader Kings II,"Feb 14, 2012",$9.99,74% (90%/82%),"1,584,825 ±40,831",116:39 (12:49),Paradox Development Studio,Paradox Interactive,Simulation
3304,ARMA: Cold War Assault,"Aug 8, 2011",$4.99,58% (85%),"1,534,092 ±40,174",01:58 (00:16),Bohemia Interactive,Bohemia Interactive,Simulation
913,Tabletop Simulator,05/06/15,$19.99,85% (93%),"1,488,048 ±39,568",18:43 (05:17),Berserk Games,Berserk Games,Simulation
90,Stellaris,"May 9, 2016",$39.99,61% (86%/78%),"1,445,587 ±39,001",90:13 (35:33),Paradox Development Studio,Paradox Interactive,Simulation
81,Tropico 3,"Oct 20, 2009",$9.99,70% (89%/79%),"1,443,933 ±38,979",07:51 (00:59),Haemimont Games,Kalypso Media Digital,Simulation
214,Game Dev Tycoon,"Aug 29, 2013",$9.99,92% (95%/68%),"1,417,464 ±38,621",13:09 (07:45),Greenheart Games,Greenheart Games,Simulation
11,Europa Universalis IV,"Aug 13, 2013",$39.99,48% (81%/87%),"1,400,094 ±38,384",210:55 (33:00),Paradox Development Studio,Paradox Interactive,Simulation
822,Moonbase Alpha,06/07/10,Free,70% (89%),"1,383,826 ±38,161",01:51 (00:35),"Virtual Heroes, Army Game Studio",NASA,Simulation
3028,SimCity 4 Deluxe Edition,20/07/10,$19.99,38% (76%),"1,256,169 ±36,363",18:54 (03:06),"EA - Maxis, Aspyr (Mac)","Electronic Arts, Aspyr (Mac)",Simulation
1461,The Long Dark,"Aug 1, 2017",$34.99,81% (92%),"1,239,902 ±36,128",23:01 (06:12),Hinterland Studio Inc.,Hinterland Studio Inc.,Simulation
100,Arma 2,29/06/09,$12.99,56% (84%/77%),"1,208,470 ±35,668",06:56 (00:36),Bohemia Interactive,Bohemia Interactive,Simulation
175,The Escapists,"Feb 13, 2015",$17.99,70% (89%/71%),"1,208,194 ±35,664",13:28 (05:29),Mouldy Toof Studios,Team17 Digital Ltd,Simulation
238,Age of Mythology: Extended Edition,"May 8, 2014",$29.99,56% (84%/66%),"1,202,680 ±35,583",23:57 (07:06),"SkyBox Labs, Ensemble Studios",Microsoft Studios,Simulation
2479,MechWarrior Online,"Dec 10, 2015",Free,40% (77%),"1,194,408 ±35,460",26:44 (00:46),Piranha Games Inc.,Piranha Games Inc.,Simulation
79,Elite Dangerous,"Apr 2, 2015",$29.99,25% (68%/80%),"1,193,581 ±35,448",89:51 (19:42),Frontier Developments,Frontier Developments,Simulation
225,SPINTIRES,12/06/14,$14.99,56% (84%/67%),"1,193,306 ±35,444",26:56 (09:12),Oovee® Game Studios,"Oovee® Game Studios, IMGN.PRO",Simulation
3137,Football Manager Touch 2017,03/11/16,$29.99,38% (76%),"1,179,795 ±35,243",33:11 (00:27),Sports Interactive,SEGA,Simulation
72,Football Manager 2017,03/11/16,$49.99,9% (51%/80%),"1,168,767 ±35,079",339:07 (147:01),Sports Interactive,SEGA,Simulation
56,Stronghold HD,"Oct 21, 2013",$5.99,85% (93%/81%),"1,137,611 ±34,609",10:55 (02:44),FireFly Studios,FireFly Studios,Simulation
70,Football Manager 2016,12/11/15,$49.99,23% (66%/81%),"1,132,923 ±34,538",394:36 (184:55),SPORTS INTERACTIVE,SEGA,Simulation
77,Football Manager 2015,2014-11-01,$49.99,N/A (N/A/80%),"1,122,446 ±34,378",411:39 (183:22),Sports Interactive,SEGA,Simulation
2006,Factorio,"Feb 25, 2016",$20,99% (98%),"1,116,105 ±34,281",87:08 (34:55),Wube Software LTD.,Wube Software LTD.,Simulation
1757,Knights and Merchants,"Oct 14, 2013",$1.39,58% (85%),"1,111,142 ±34,205",03:59 (01:55),Topware Interactive,Topware Interactive,Simulation
93,Stronghold Crusader HD,"Oct 21, 2013",$9.99,95% (96%/78%),"1,095,702 ±33,967",16:21 (02:56),FireFly Studios,FireFly Studios,Simulation
193,Dungeons 2,"Apr 24, 2015",$19.99,34% (74%/70%),"1,089,360 ±33,869",07:49 (03:31),Realmforge Studios,Kalypso Media Digital,Simulation
88,State of Decay,05/11/13,N/A,56% (84%/79%),"1,062,340 ±33,447",19:25 (07:30),Undead Labs,Microsoft Studios,Simulation
28,SpaceChem,02/03/11,$9.99,97% (97%/84%),"1,058,204 ±33,382",05:01 (01:09),Zachtronics,Zachtronics,Simulation
22,DiRT 3,"May 23, 2011",$24.99,N/A (N/A/86%),"1,014,365 ±32,685",09:20 (02:25),Codemasters Racing Studio,Codemasters,Simulation
636,Infestation: Survivor Stories Classic,,N/A,5% (42%),"1,012,159 ±32,649",49:34 (06:42),OP Productions LLC,OP Productions LLC,Simulation
1025,Steel Ocean,12/11/15,Free,26% (69%),"990,653 ±32,301",09:23 (00:46),ICE Entertainment,Changyou.com Limited,Simulation
38,Project CARS,15/03/15,$29.99,36% (75%/83%),"986,793 ±32,238",28:02 (06:02),Slightly Mad Studios,"Slightly Mad Studios, BANDAI NAMCO Entertainment",Simulation
31,Planet Coaster,17/11/16,$44.99,70% (89%/84%),"985,139 ±32,211",28:20 (09:17),Frontier Developments,Frontier Developments,Simulation
89,Five Nights at Freddy's,"Aug 19, 2014",$4.99,64% (87%/78%),"975,213 ±32,049",03:44 (01:19),Scott Cawthon,Scott Cawthon,Simulation
126,Reus,"May 16, 2013",$9.99,51% (82%/75%),"953,156 ±31,685",04:50 (01:47),Abbey Games,Abbey Games,Simulation
1470,Microsoft Flight Simulator X: Steam Edition,"Dec 18, 2014",$24.99,44% (79%),"947,366 ±31,589",59:55 (05:51),Microsoft Game Studios,Dovetail Games - Flight,Simulation
192,Starpoint Gemini 2,"Sep 26, 2014",$34.99,29% (71%/70%),"931,374 ±31,322",07:11 (03:24),Little Green Men Games,Iceberg Interactive,Simulation
62,Slime Rancher,"Aug 1, 2017",$19.99,92% (95%/81%),"929,444 ±31,289",19:27 (09:14),Monomi Park,Monomi Park,Simulation
63,RollerCoaster Tycoon 3: Platinum,12/03/08,$19.99,67% (88%/81%),"923,654 ±31,192",16:27 (03:34),"Frontier, Aspyr (Mac)","Atari, Aspyr (Mac)",Simulation
196,SPORE Galactic Adventures,23/06/09,$19.99,44% (79%/70%),"913,728 ±31,024",16:39 (03:22),EA - Maxis,Electronic Arts,Simulation
43,Hearts of Iron IV,06/06/16,$39.99,51% (82%/83%),"892,222 ±30,657",130:03 (51:57),Paradox Development Studio,Paradox Interactive,Simulation
116,American Truck Simulator,"Feb 2, 2016",$19.99,77% (91%/76%),"875,128 ±30,363",50:22 (16:33),SCS Software,SCS Software,Simulation
2409,High Octane Drift,"Oct 14, 2016",Free,8% (49%),"875,128 ±30,363",02:01 (00:16),Cruderocks,Cruderocks,Simulation
1646,RimWorld,15/07/16,$29.99,97% (97%),"867,683 ±30,234",84:06 (36:27),Ludeon Studios,Ludeon Studios,Simulation
1007,Project Zomboid,08/11/13,$14.99,64% (87%),"861,617 ±30,128",22:08 (06:13),The Indie Stone,The Indie Stone,Simulation
7,Rise of Nations: Extended Edition,12/06/14,$19.99,77% (91%/89%),"851,967 ±29,959",25:48 (05:54),"SkyBox Labs, Big Huge Games",Microsoft Studios,Simulation
170,STAR WARS Starfighter,08/07/09,$5.99,8% (49%/71%),"850,589 ±29,935",01:19 (00:13),LucasArts,"LucasArts, Lucasfilm, Disney Interactive",Simulation
3235,Copa Petrobras de Marcas,"Apr 8, 2015",Free,14% (58%),"848,107 ±29,891",00:47 (00:11),Reiza Studios,Reiza Studios,Simulation
1,Thief Gold,"May 22, 2012",$6.99,85% (93%/92%),"841,490 ±29,775",03:21 (00:26),Looking Glass Studios,Square Enix,Simulation
1532,SPORE Creepy & Cute Parts Pack,"Dec 19, 2008",$19.99,46% (80%),"841,214 ±29,770",05:54 (00:54),Maxis™,Electronic Arts,Simulation
20,DiRT Rally,"Dec 7, 2015",$59.99,74% (90%/86%),"830,461 ±29,579",19:28 (05:19),"Codemasters Racing Studio, Feral Interactive (Linux), Feral Interactive (Mac)","Codemasters, Feral Interactive (Linux), Feral Interactive (Mac)",Simulation
466,Viscera Cleanup Detail: Santa's Rampage,"Dec 13, 2013",$2.49,74% (90%),"826,326 ±29,506",02:46 (01:35),RuneStorm,RuneStorm,Simulation
147,Black Desert Online,"May 24, 2017",$9.99,29% (71%/73%),"824,395 ±29,471",90:19 (08:50),Pearl Abyss,Kakao Games Europe B.V.,Simulation
2922,Miscreated,"Oct 30, 2014",$19.99,26% (69%),"815,848 ±29,318",22:19 (05:05),Entrada Interactive LLC,Entrada Interactive LLC,Simulation
248,Stronghold Crusader 2,"Sep 22, 2014",$49.99,17% (61%/65%),"809,231 ±29,199",19:23 (04:18),FireFly Studios,FireFly Studios,Simulation
2306,Pinball Arcade,04/11/13,Free,34% (74%),"802,614 ±29,080",11:08 (00:18),FarSight Studios,FarSight Studios,Simulation
3125,Receiver,"Apr 29, 2013",$4.99,61% (86%),"797,099 ±28,980",01:35 (00:18),Wolfire Games,Wolfire Games,Simulation
36,Universe Sandbox,"Apr 29, 2011",N/A,48% (81%/83%),"780,556 ±28,678",09:38 (01:01),Giant Army,Giant Army,Simulation
1956,Stronghold 3 Gold,"May 25, 2012",$29.99,1% (26%),"771,733 ±28,516",10:06 (04:09),FireFly Studios,FireFly Studios,Simulation
1110,Euro Truck Simulator,08/03/13,$4.99,44% (79%),"744,437 ±28,008",04:59 (00:40),SCS Software,SCS Software,Simulation
221,Car Mechanic Simulator 2015,"Apr 23, 2015",$19.99,77% (91%/68%),"743,610 ±27,992",18:12 (06:32),Red Dot Games,PlayWay S.A.,Simulation
249,Farming Simulator 15,"Oct 30, 2014",$19.99,74% (90%/64%),"735,614 ±27,841",90:51 (25:30),Giants Software,Focus Home Interactive,Simulation
161,Cities in Motion 2,"Apr 2, 2013",$19.99,16% (60%/72%),"730,652 ±27,748",15:38 (01:19),Colossal Order Ltd.,Paradox Interactive,Simulation
305,Nether: Resurrected,05/06/14,$4.99,5% (43%/57%),"727,343 ±27,685",12:12 (03:23),Phosphor Games Studio,"Nether Productions, LLC",Simulation
2829,Mount Your Friends,29/07/14,$4.99,92% (95%),"724,586 ±27,632",03:02 (01:44),Stegersaurus Software Inc.,Stegersaurus Software Inc.,Simulation
14,Homeworld Remastered Collection,"Feb 25, 2015",$34.99,61% (86%/86%),"722,104 ±27,585",14:06 (05:13),"Gearbox Software, Aspyr (Mac)","Gearbox Publishing, Aspyr (Mac)",Simulation
452,HuniePop,19/01/15,$9.99,95% (96%),"709,421 ±27,342",16:23 (11:02),HuniePot,HuniePot,Simulation
2642,Hurtworld,"Dec 3, 2015",$24.99,40% (77%),"705,010 ±27,257",64:53 (11:29),Bankroll Studios,Bankroll Studios,Simulation
1191,Scrap Mechanic,19/01/16,$19.99,53% (83%),"697,565 ±27,113",27:59 (09:45),Axolot Games,Axolot Games,Simulation
461,Pixel Piracy,31/07/14,$9.99,24% (67%),"689,570 ±26,957",07:30 (03:04),Vitali Kirpu,Re-Logic,Simulation
64,World of Warships,15/11/17,Free,26% (69%/81%),"670,269 ±26,578",07:41 (01:43),Wargaming Group Limited,Wargaming Group Limited,Simulation
330,Viridi,"Aug 19, 2015",Free,74% (90%/46%),"669,718 ±26,567",03:40 (00:10),Ice Water Games,Ice Water Games,Simulation
46,ABZU,"Aug 2, 2016",$19.99,81% (92%/83%),"661,171 ±26,397",02:31 (01:40),Giant Squid,505 Games,Simulation
1214,Mabinogi,"Dec 6, 2012",Free,34% (74%),"654,829 ±26,270",72:10 (00:45),NEXON Korea Corp.,Nexon America Inc.,Simulation
191,Democracy 3,"Oct 14, 2013",$24.99,34% (74%/70%),"647,661 ±26,126",08:59 (03:43),Positech Games,Positech Games,Simulation
152,Poly Bridge,12/07/16,$11.99,74% (90%/73%),"647,385 ±26,121",08:04 (03:25),Dry Cactus,Dry Cactus,Simulation
143,X3: Terran Conflict,"Oct 16, 2008",$15.99,61% (86%/73%),"645,455 ±26,082",35:31 (02:10),Egosoft,Egosoft,Simulation
216,Men of War: Assault Squad 2,"May 15, 2014",$29.99,56% (84%/68%),"644,628 ±26,065",57:29 (15:42),Digitalmindsoft,1C Company,Simulation
2015,Rocksmith 2014 Edition - Remastered,"Oct 4, 2016",$39.99,74% (90%),"642,973 ±26,032",50:12 (11:00),Ubisoft - San Francisco,Ubisoft,Simulation
885,Slingshot people,"Oct 21, 2016",$0.99,1% (21%),"633,599 ±25,842",03:04 (03:30),StalkerAlex,StalkerAlex.,Simulation
52,Lone Survivor: The Director's Cut,"Apr 23, 2012",$14.99,70% (89%/81%),"630,290 ±25,774",01:02 (00:20),Jasper Byrne,Superflat Games,Simulation
128,RollerCoaster Tycoon 2: Triple Thrill Pack,"May 21, 2014",$9.99,61% (86%/74%),"626,982 ±25,706",09:29 (01:14),Chris Sawyer Productions,Atari,Simulation
1393,Amazing World,"Aug 7, 2014",Free,40% (77%),"623,673 ±25,639",02:09 (00:25),Ganz,Ganz,Simulation
471,RollerCoaster Tycoon: Deluxe,"May 21, 2014",$5.99,85% (93%),"617,332 ±25,508",14:15 (03:48),Chris Sawyer Productions,Atari,Simulation
292,I am Bread,"Apr 9, 2015",$12.99,44% (79%/60%),"615,953 ±25,480",03:44 (01:05),Bossa Studios,Bossa Studios,Simulation
49,Hacknet,"Aug 12, 2015",$9.99,85% (93%/82%),"606,027 ±25,274",05:06 (02:35),Team Fractal Alligator,Surprise Attack,Simulation
600,Navy Field 2 : Conqueror of the Ocean,05/03/15,Free,6% (45%),"602,443 ±25,199",04:14 (00:20),SDEnterNet,SDEnterNet,Simulation
2048,Flesh Eaters,"May 3, 2016",$1.99,36% (75%),"589,208 ±24,921",03:12 (03:30),S.C. 16 BIT NIGHTS S.R.L.,S.C. 16 BIT NIGHTS S.R.L.,Simulation
2948,The Pirate: Caribbean Hunt,"Aug 24, 2016",Free,46% (80%),"588,933 ±24,915",06:40 (00:38),Home Net Games,Home Net Games,Simulation
136,Kingdom: Classic,"Oct 21, 2015",N/A,58% (85%/74%),"588,657 ±24,909",07:33 (03:48),"Noio, Licorice",Raw Fury,Simulation
742,Kingdom: New Lands,"Aug 9, 2016",$14.99,70% (89%),"588,657 ±24,909",09:36 (03:57),Noio,Raw Fury,Simulation
2311,Kingdom Wars,"Apr 1, 2013",Free,24% (67%),"585,073 ±24,833",09:14 (00:59),Reverie World Studios,,Simulation
257,Youtubers Life,"Feb 2, 2017",$24.99,36% (75%/63%),"582,040 ±24,769",12:37 (08:29),U-Play Online,U-Play Online,Simulation
2824,BeamNG.drive,"May 29, 2015",$24.99,67% (88%),"580,110 ±24,728",40:49 (08:41),BeamNG,BeamNG,Simulation
284,The Guild II,24/06/10,$9.99,24% (67%/61%),"579,283 ±24,710",06:11 (01:23),4 Head Studios,THQ Nordic,Simulation
3216,AdVenture Communist,"Aug 23, 2016",Free,26% (69%),"579,007 ±24,705",11:27 (00:36),Hyper Hippo Games,Hyper Hippo Games,Simulation
2750,Endless Sky,"Oct 30, 2015",Free,70% (89%),"578,731 ±24,699",10:12 (00:20),Michael Zahniser,Michael Zahniser,Simulation
166,Gratuitous Space Battles,16/11/09,$14.99,51% (82%/72%),"572,665 ±24,569",06:08 (02:09),Positech Games,Positech Games,Simulation
25,Assetto Corsa,"Dec 19, 2014",$29.99,61% (86%/85%),"566,324 ±24,433",61:05 (11:35),Kunos Simulazioni,Kunos Simulazioni,Simulation
3144,Time of Dragons,"Feb 1, 2016",Free,24% (67%),"565,221 ±24,409",00:53 (00:13),4 I Lab,4 I Lab,Simulation
1422,Pool Nation FX Lite,"Dec 7, 2015",Free,19% (63%),"561,637 ±24,332",01:58 (00:12),Cherry Pop Games,Cherry Pop Games,Simulation
2740,Viscera Cleanup Detail,"Oct 23, 2015",$12.99,85% (93%),"559,707 ±24,290",09:02 (03:58),RuneStorm,RuneStorm,Simulation
371,Farming Simulator 2013 Titanium Edition,"Oct 9, 2013",$19.99,74% (90%),"555,571 ±24,200",77:10 (14:37),Giants Software,Giants Software,Simulation
1566,Battle Islands,"Aug 6, 2014",Free,40% (77%),"555,571 ±24,200",13:02 (00:28),DR Studios,505 Games,Simulation
890,ARMA: Gold Edition,13/07/11,$9.99,31% (72%),"551,987 ±24,122",06:39 (00:29),Bohemia Interactive,Bohemia Interactive,Simulation
457,Reign Of Kings,"Dec 15, 2015",$1.99,15% (59%),"547,024 ±24,013",39:17 (12:27),Code}{atch,Code}{atch,Simulation
3352,Eets Munchies,11/03/14,$6.99,N/A (N/A),"543,164 ±23,929",01:41 (00:40),Klei Entertainment,Klei Entertainment,Simulation
375,Car Mechanic Simulator 2014,24/01/14,$6.99,48% (81%),"541,234 ±23,886",05:14 (01:55),"PlayWay S.A., Red Dot Games",PlayWay S.A.,Simulation
35,Pinball FX2,"May 10, 2013",Free,67% (88%/84%),"532,411 ±23,691",09:48 (00:55),Zen Studios,Microsoft Studios,Simulation
1719,Bold New World,17/01/17,$0.99,N/A (N/A),"530,756 ±23,654",05:51 (06:29),Limed,Limed,Simulation
208,Farming Simulator 17,"Oct 24, 2016",$24.99,81% (92%/69%),"519,452 ±23,401",113:59 (40:24),Giants Software,Focus Home Interactive,Simulation
10,Thief II: The Metal Age,"May 22, 2012",$6.99,92% (95%/87%),"516,419 ±23,333",04:30 (00:16),Looking Glass Studios,Square Enix,Simulation
2563,Oxygen Not Included,"May 18, 2017",$24.99,74% (90%),"512,559 ±23,245",32:41 (12:39),Klei Entertainment,Klei Entertainment,Simulation
235,Strike Suit Zero,23/01/13,$19.99,48% (81%/66%),"510,905 ±23,208",03:17 (01:21),Born Ready Games Ltd.,Born Ready Games,Simulation
854,Learn to Fly 3,"May 12, 2017",Free,58% (85%),"508,975 ±23,164",03:59 (01:18),Light Bringer Games inc.,Light Bringer Games inc.,Simulation
37,Door Kickers,"Oct 20, 2014",$19.99,92% (95%/83%),"504,563 ±23,064",07:25 (02:52),KillHouse Games,KillHouse Games,Simulation
869,Cities XL Platinum,"Feb 6, 2013",$9.99,13% (56%),"495,464 ±22,855",10:39 (02:25),Focus Home Interactive,Focus Home Interactive,Simulation
1200,"Cook, Serve, Delicious!","Oct 8, 2013",$9.99,92% (95%),"495,464 ±22,855",09:28 (02:53),Vertigo Gaming Inc.,Vertigo Gaming Inc.,Simulation
111,Mini Metro,06/11/15,$9.99,95% (96%/77%),"493,810 ±22,817",10:19 (04:04),Dinosaur Polo Club,Dinosaur Polo Club,Simulation
2764,Governor of Poker 3,"Feb 19, 2016",Free,34% (74%),"492,156 ±22,778",07:52 (00:57),"OrangeGames, YoudaGames",OrangeGames,Simulation
1475,Savage Lands,05/03/15,$14.99,13% (56%),"487,744 ±22,676",06:01 (01:38),"Signal Studios, Smart Ghost",Signal Studios,Simulation
98,Offworld Trading Company,"Apr 28, 2016",$19.99,34% (74%/78%),"486,641 ±22,651",09:05 (03:55),Mohawk Games,Stardock Entertainment,Simulation
2885,Face of Mankind,17/07/14,N/A,N/A (N/A),"486,641 ±22,651",02:41 (00:28),Duplex Systems,Nexeon Technologies,Simulation
978,Back to Dinosaur Island,18/11/15,Free,11% (53%),"485,539 ±22,625",00:13 (00:04),Crytek,Crytek,Simulation
53,Overcooked,"Aug 3, 2016",$16.99,85% (93%/81%),"482,781 ±22,561",06:02 (02:53),Ghost Town Games Ltd.,Team17 Digital Ltd,Simulation
3149,Street Warriors Online,"Dec 16, 2016",$1.99,15% (59%),"468,444 ±22,223",01:00 (00:21),Crazy Rocks Studios,Crazy Rocks Studios,Simulation
309,The Guild II Renaissance,28/07/10,$9.99,46% (80%/56%),"465,136 ±22,145",18:55 (07:06),Rune Forge,THQ Nordic,Simulation
1969,Hacker Evolution,"Sep 14, 2010",$4.99,26% (69%),"462,654 ±22,086",02:50 (02:17),exosyphen studios,exosyphen studios,Simulation
16,Her Story,24/06/15,$5.99,74% (90%/86%),"462,378 ±22,079",03:03 (02:26),Sam Barlow,Sam Barlow,Simulation
2775,Among Ripples,22/01/15,Free,29% (71%),"461,551 ±22,060",00:14 (00:05),Eat Create Sleep,Eat Create Sleep,Simulation
266,Life is Feudal: Your Own,17/11/15,$39.99,22% (65%/63%),"460,173 ±22,027",86:19 (11:19),Bitbox Ltd.,Bitbox Ltd.,Simulation
118,From Dust,"Aug 17, 2011",$14.99,21% (64%/76%),"458,243 ±21,980",06:05 (02:28),Ubisoft Montpellier,Ubisoft,Simulation
1371,theHunter: Call of the Wild,"Feb 16, 2017",$29.99,42% (78%),"456,037 ±21,927",20:58 (07:33),Expansive Worlds,Avalanche Studios,Simulation
670,Google Earth VR,16/11/16,Free,95% (96%),"455,210 ±21,908",02:51 (00:26),Google,Google,Simulation
1975,Project CARS - Pagani Edition,"Oct 28, 2016",Free,14% (58%),"453,555 ±21,868",01:53 (00:16),Slightly Mad Studios,"Slightly Mad Studios, BANDAI NAMCO Entertainment",Simulation
154,WWII Online,"Sep 5, 2017",$7.99,6% (45%/73%),"452,453 ±21,841",02:33 (00:13),Cornered Rat Software,Cornered Rat Software,Simulation
