#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Playtime (Median),Developer(s),Publisher(s),Genre
50,DARK SOULS: Prepare To Die Edition,"Aug 23, 2012",$19.99,70% (89%/85%),"3,037,029 ±56,439",45:20 (11:02),FromSoftware,BANDAI NAMCO Entertainment,RPG
455,Firefall,29/07/14,Free,18% (62%/60%),"3,016,074 ±56,245",13:24 (01:22),Red 5 Studios,Red 5 Studios,RPG
11,Undertale,"Sep 15, 2015",$9.99,92% (95%/92%),"2,986,297 ±55,968",17:08 (08:37),tobyfox,tobyfox,RPG
166,Mount & Blade: Warband,31/03/10,$19.99,97% (97%/78%),"2,927,018 ±55,413",116:27 (37:07),TaleWorlds Entertainment,TaleWorlds Entertainment,RPG
59,RIFT,01/03/11,Free,38% (76%/84%),"2,879,318 ±54,963",40:33 (03:22),Trion Worlds,Trion Worlds,RPG
23,Fallout: A Post Nuclear Role Playing Game,01/11/15,$9.99,85% (93%/89%),"2,848,990 ±54,674",04:29 (00:39),Interplay Inc.,Bethesda Softworks,RPG
1964,Darksiders Warmastered Edition,29/11/16,$19.99,58% (85%),"2,820,315 ±54,400",06:48 (03:09),"KAIKO, Vigil Games",THQ Nordic,RPG
1282,STAR WARS - Knights of the Old Republic,"Sep 5, 2009",$9.99,67% (88%),"2,817,558 ±54,373",14:15 (02:51),"BioWare, Aspyr (Mac)","LucasArts, Aspyr (Mac), Disney Interactive, Lucasfilm",RPG
2164,7 Days to Die,"Dec 13, 2013",$24.99,48% (81%),"2,766,550 ±53,882",82:12 (16:10),The Fun Pimps,The Fun Pimps Entertainment LLC,RPG
44,Bastion,"Aug 16, 2011",$14.99,95% (96%/86%),"2,633,654 ±52,579",06:26 (03:16),Supergiant Games,Warner Bros. Interactive Entertainment,RPG
40,The Lord of the Rings Online,06/06/12,Free,51% (82%/86%),"2,618,765 ±52,431",26:35 (01:40),"Standing Stone Games, LLC","Standing Stone Games, LLC",RPG
309,DC Universe Online,02/11/11,Free,48% (81%/72%),"2,596,984 ±52,213",24:31 (05:38),Daybreak Game Company,Daybreak Game Company,RPG
686,Aura Kingdom,2014-07-01,Free,44% (79%),"2,545,149 ±51,693",18:00 (01:11),X-Legend,Aeria Games,RPG
1606,SEGA Mega Drive and Genesis Classics,01/06/10,N/A,46% (80%),"2,484,767 ±51,079",03:22 (00:26),D3T Limited,SEGA,RPG
1134,ORION: Prelude,"Apr 16, 2013",$0.99,40% (77%),"2,476,771 ±50,997",04:40 (01:29),"Trek Industries, Inc","Trek Industries, Inc",RPG
12,Fallout 3: Game of the Year Edition,"Dec 17, 2009",$19.99,48% (81%/91%),"2,475,392 ±50,983",18:50 (04:07),Bethesda Game Studios,Bethesda Softworks,RPG
2313,South Park: The Stick of Truth,03/03/14,$29.99,97% (97%),"2,471,532 ±50,943",15:39 (12:34),Obsidian Entertainment,Ubisoft,RPG
53,STAR WARS Knights of the Old Republic II - The Sith Lords,"Aug 23, 2012",$9.99,67% (88%/85%),"2,344,151 ±49,620",21:38 (07:13),"Obsidian Entertainment, Aspyr (Mac, Linux, & Windows Update)","LucasArts, Disney Interactive, Lucasfilm, Aspyr (Mac, Linux)",RPG
2029,Tree of Savior (English Ver.),28/03/16,Free,16% (60%),"2,264,468 ±48,773",56:34 (04:34),"IMCGAMES Co.,Ltd.","IMCGAMES Co.,Ltd.",RPG
420,The Mighty Quest For Epic Loot,"Feb 25, 2014",Free,23% (66%/64%),"2,204,086 ±48,121",14:34 (03:23),Ubisoft Montreal,Ubisoft Montreal,RPG
242,Borderlands: The Pre-Sequel,"Oct 13, 2014",$39.99,48% (81%/75%),"2,195,539 ±48,028",33:43 (17:10),"2K Australia, Gearbox Software, Aspyr (Mac and Linux)","2K, Aspyr (Mac and Linux)",RPG
35,Dying Light,26/01/15,$39.99,81% (92%/87%),"2,184,786 ±47,911",36:58 (23:40),Techland,Techland Publishing,RPG
319,Fallen Earth Free2Play,"Feb 22, 2012",Free,13% (56%/71%),"2,165,210 ±47,697",08:39 (00:40),Reloaded Productions,Gamersfirst,RPG
2479,Titan Quest Anniversary Edition,"Aug 31, 2016",$19.99,85% (93%),"2,156,663 ±47,603",17:45 (04:53),"Iron Lore Entertainment, THQ Nordic",THQ Nordic,RPG
2257,Knight Online,25/01/16,Free,7% (46%),"2,051,339 ±46,431",37:12 (00:17),"Noah System, Mgame",NTTGame,RPG
101,Dungeon Defenders,"Oct 18, 2011",$14.99,81% (92%/81%),"2,016,598 ±46,038",39:58 (11:24),Trendy Entertainment,Trendy Entertainment,RPG
7,The Elder Scrolls IV: Oblivion Game of the Year Edition,16/06/09,$14.99,89% (94%/94%),"1,973,311 ±45,543",27:46 (07:14),Bethesda Game Studios,Bethesda Softworks,RPG
776,sZone-Online,"Dec 29, 2015",Free,4% (40%),"1,966,969 ±45,470",05:54 (00:21),Cybertime System,Cybertime System,RPG
4,Mass Effect 2,26/01/10,$19.99,92% (95%/94%),"1,909,344 ±44,802",39:55 (25:51),BioWare,Electronic Arts,RPG
448,Dead Island Riptide,,$19.99,N/A (N/A/61%),"1,849,789 ±44,100",14:10 (05:51),Techland,Deep Silver,RPG
208,Star Trek Online,31/01/12,Free,38% (76%/76%),"1,799,057 ±43,493",69:42 (05:02),Cryptic Studios,Perfect World Entertainment,RPG
2856,Riders of Icarus,06/07/16,Free,23% (66%),"1,755,218 ±42,962",22:55 (01:29),WeMade,Nexon America,RPG
20,Mass Effect,"Dec 19, 2008",$19.99,89% (94%/89%),"1,731,231 ±42,669",24:07 (10:49),BioWare,Electronic Arts,RPG
15,Deus Ex: Human Revolution - Director's Cut,"Oct 25, 2013",$19.99,77% (91%/91%),"1,713,309 ±42,448",17:04 (06:03),"Eidos Montreal, Feral Interactive (Mac)","Square Enix, Feral Interactive (Mac)",RPG
56,Darkest Dungeon,19/01/16,$24.99,61% (86%/84%),"1,674,984 ±41,972",31:10 (14:07),Red Hook Studios,Red Hook Studios,RPG
980,Tom Clancys The Division,07/03/16,$49.99,22% (65%),"1,670,297 ±41,913",83:03 (36:44),Massive Entertainment,Ubisoft,RPG
391,Lord of the Rings: War in the North,01/11/11,$19.99,40% (77%/66%),"1,662,301 ±41,813",10:40 (03:37),Snowblind Studios,Warner Bros. Interactive Entertainment,RPG
193,Titan Quest,26/06/07,N/A,58% (85%/77%),"1,647,137 ±41,623",07:16 (00:40),Iron Lore Entertainment,THQ Nordic,RPG
518,The Elder Scrolls Online: Tamriel Unlimited,17/03/15,$19.99,46% (80%),"1,607,985 ±41,127",94:09 (20:41),Zenimax Online Studios,Bethesda Softworks,RPG
540,Strife,"May 22, 2015",Free,38% (76%),"1,597,508 ±40,993",07:50 (01:17),S2 Games,S2 Games,RPG
87,Crusader Kings II,"Feb 14, 2012",$9.99,74% (90%/82%),"1,584,825 ±40,831",116:39 (12:49),Paradox Development Studio,Paradox Interactive,RPG
316,Enclave,"Oct 4, 2013",$4.99,34% (74%/71%),"1,567,179 ±40,603",02:41 (01:44),Starbreeze,Topware Interactive,RPG
203,Risk of Rain,08/11/13,$9.99,89% (94%/77%),"1,553,393 ±40,425",16:30 (04:57),"Hopoo Games, LLC",Chucklefish,RPG
457,How to Survive,"Aug 29, 2014",$14.99,53% (83%/60%),"1,506,245 ±39,809",06:24 (02:54),Eko Software,505 Games,RPG
31,EVE Online,"Dec 15, 2010",Free,40% (77%/88%),"1,500,731 ±39,736",69:14 (01:54),CCP,CCP,RPG
1498,Tabletop Simulator,05/06/15,$19.99,85% (93%),"1,488,048 ±39,568",18:43 (05:17),Berserk Games,Berserk Games,RPG
361,Mount & Blade: With Fire & Sword,"May 3, 2011",$9.99,58% (85%/68%),"1,480,052 ±39,462",25:16 (06:17),TaleWorlds Entertainment,TaleWorlds Entertainment,RPG
5,Divinity: Original Sin - Enhanced Edition,"Oct 27, 2015",$39.99,74% (90%/94%),"1,457,994 ±39,168",28:32 (08:57),Larian Studios,Larian Studios,RPG
74,Transistor,"May 20, 2014",$19.99,92% (95%/83%),"1,452,480 ±39,094",04:54 (02:30),Supergiant Games,Supergiant Games,RPG
34,Divinity: Original Sin (Classic),30/06/14,N/A,74% (90%/87%),"1,441,727 ±38,949",35:10 (13:35),Larian Studios,Larian Studios,RPG
83,Torchlight,"Oct 27, 2009",$14.99,85% (93%/83%),"1,439,246 ±38,916",16:40 (07:30),Runic Games,Runic Games,RPG
158,DARK SOULS II: Scholar of the First Sin,"Apr 1, 2015",$39.99,64% (87%/79%),"1,399,267 ±38,373",54:16 (27:19),"FromSoftware, Inc","BANDAI NAMCO Entertainment, FromSoftware, Inc",RPG
207,The Ship: Murder Party,11/07/06,$9.99,56% (84%/76%),"1,394,579 ±38,309",03:38 (01:43),Outerlight Ltd.,Blazing Griffin Ltd.,RPG
47,Rogue Legacy,27/06/13,$14.99,85% (93%/85%),"1,381,069 ±38,123",16:08 (08:30),Cellar Door Games,Cellar Door Games,RPG
103,Overlord,12/11/09,$4.99,85% (93%/81%),"1,378,036 ±38,082",06:26 (01:44),"Triumph Studios, Virtual Programming",Codemasters,RPG
1688,The Ship: Single Player,20/11/06,N/A,25% (68%),"1,359,839 ±37,830",01:48 (00:46),Outerlight Ltd.,Blazing Griffin Ltd.,RPG
220,WAKFU,"Sep 18, 2014",Free,44% (79%/76%),"1,347,432 ±37,658",23:42 (01:55),Ankama Studio,Ankama Games,RPG
109,To the Moon,"Sep 7, 2012",$9.99,95% (96%/81%),"1,347,156 ±37,654",03:17 (02:55),Freebird Games,Freebird Games,RPG
1077,Ragnarok Online 2,"May 1, 2013",Free,16% (60%),"1,329,234 ±37,403",21:17 (00:51),"Gravity, Inc.",Gravity Interactive,RPG
131,ArcheAge,26/03/15,Free,11% (53%/80%),"1,321,239 ±37,291",55:47 (03:20),XLGAMES,Trion Worlds,RPG
509,Dragons and Titans,12/03/14,Free,40% (77%/43%),"1,312,967 ±37,174",05:01 (00:33),Wyrmbyte,Versus Evil,RPG
339,Risen 2: Dark Waters,"Apr 26, 2012",$9.99,40% (77%/69%),"1,297,251 ±36,952",19:54 (04:26),Piranha Bytes,Deep Silver,RPG
2035,Elsword,02/07/14,Free,40% (77%),"1,296,975 ±36,948",26:20 (01:01),KOG,KOG Games,RPG
22,The Elder Scrolls III: Morrowind Game of the Year Edition,16/06/09,$14.99,92% (95%/89%),"1,284,844 ±36,775",17:12 (02:33),Bethesda Game Studios,Bethesda Softworks,RPG
2256,School of Dragons,"Dec 4, 2014",Free,9% (50%),"1,270,231 ±36,566",04:06 (00:46),"JumpStart Games, Inc.","JumpStart Games, Inc.",RPG
1642,Hero Siege,29/01/14,$5.99,46% (80%),"1,266,922 ±36,518",12:15 (04:00),"Elias Viglione, Jussi Kukkonen",Panic Art Studios,RPG
545,Panzar,25/11/13,Free,22% (65%),"1,250,379 ±36,280",09:19 (01:31),Panzar Studio,OVALIS INVESTMENTS LIMITED,RPG
98,S.T.A.L.K.E.R.: Shadow of Chernobyl,20/03/07,$19.99,89% (94%/82%),"1,238,799 ±36,112",14:58 (02:49),GSC Game World,GSC Game World,RPG
1797,FINAL FANTASY VII,04/07/13,$11.99,85% (93%),"1,238,799 ±36,112",27:30 (05:10),Square Enix,Square Enix,RPG
16,Dragon Age: Origins - Ultimate Edition,"Oct 26, 2010",$29.99,85% (93%/91%),"1,231,355 ±36,003",39:25 (14:10),BioWare,Electronic Arts,RPG
88,Endless Legend,"Sep 18, 2014",$29.99,51% (82%/82%),"1,224,462 ±35,903",25:20 (09:10),AMPLITUDE Studios,SEGA,RPG
1418,Dust: An Elysian Tail,"May 24, 2013",$14.99,95% (96%),"1,208,746 ±35,672",07:16 (03:11),Humble Hearts LLC,Microsoft Studios,RPG
2869,Guns and Robots,"Aug 4, 2014",Free,22% (65%),"1,203,783 ±35,599",02:13 (00:23),Masthead Studios Ltd,"Masthead Studios Ltd, Thegamewallstudios, Gamigo AG",RPG
130,Elite Dangerous,"Apr 2, 2015",$29.99,25% (68%/80%),"1,193,581 ±35,448",89:51 (19:42),Frontier Developments,Frontier Developments,RPG
84,WildStar,09/06/16,Free,28% (70%/82%),"1,191,927 ±35,424",06:45 (01:39),Carbine Studios,NCSOFT,RPG
76,Grim Dawn,"Feb 25, 2016",$24.99,77% (91%/83%),"1,162,425 ±34,983",59:09 (18:01),Crate Entertainment,Crate Entertainment,RPG
14,DARK SOULS II,"Apr 25, 2014",$39.99,64% (87%/91%),"1,143,676 ±34,701",82:27 (49:17),"FromSoftware, Inc","BANDAI NAMCO Entertainment, FromSoftware, Inc",RPG
214,Shadowrun Returns,25/07/13,$14.99,70% (89%/76%),"1,136,508 ±34,592",14:37 (06:54),Harebrained Schemes,Harebrained Holdings,RPG
304,Mount & Blade,03/11/08,$9.99,77% (91%/72%),"1,134,578 ±34,563",20:43 (03:13),TaleWorlds Entertainment,TaleWorlds Entertainment,RPG
25,Pillars of Eternity,26/03/15,$29.99,56% (84%/89%),"1,119,689 ±34,336",41:31 (15:55),Obsidian Entertainment,Paradox Interactive,RPG
148,Overlord II,24/06/09,$9.99,64% (87%/79%),"1,108,660 ±34,167",09:49 (03:28),"Triumph Studios, Virtual Programming",Codemasters,RPG
327,Dungeons 2,"Apr 24, 2015",$19.99,34% (74%/70%),"1,089,360 ±33,869",07:49 (03:31),Realmforge Studios,Kalypso Media Digital,RPG
222,Vindictus,22/06/12,Free,33% (73%/76%),"1,080,537 ±33,732",32:04 (02:21),Nexon,Nexon America Inc.,RPG
147,S.T.A.L.K.E.R.: Call of Pripyat,"Feb 11, 2010",$19.99,92% (95%/80%),"1,079,434 ±33,714",25:21 (04:17),GSC Game World,GSC Game World,RPG
2860,Darksiders II Deathinitive Edition,05/11/15,$29.99,36% (75%),"1,072,817 ±33,611",10:57 (04:19),"Gunfire Games, Vigil Games, THQ Nordic",THQ Nordic,RPG
126,Titan Quest: Immortal Throne,05/03/07,N/A,77% (91%/80%),"1,071,163 ±33,585",28:48 (05:58),Iron Lore Entertainment,THQ Nordic,RPG
38,Fallout 2: A Post Nuclear Role Playing Game,"Aug 19, 2009",$9.99,89% (94%/86%),"1,066,751 ±33,516",10:47 (01:09),Black Isle Studios,Bethesda Softworks,RPG
154,State of Decay,05/11/13,N/A,56% (84%/79%),"1,062,340 ±33,447",19:25 (07:30),Undead Labs,Microsoft Studios,RPG
1290,Digimon Masters Online,03/11/16,Free,25% (68%),"1,052,414 ±33,291",17:15 (00:30),"Move Games Co., Ltd.","Move Games Co., Ltd.",RPG
1885,MOBIUS FINAL FANTASY,"Feb 5, 2017",Free,26% (69%),"1,040,007 ±33,094",23:22 (00:54),Square Enix,Square Enix,RPG
402,Two Worlds Epic Edition,"Apr 30, 2009",$9.99,28% (70%/65%),"1,037,525 ±33,055",05:51 (02:41),Reality Pump Studios,Topware Interactive,RPG
1734,The SKIES,"Apr 16, 2016",Free,7% (46%),"1,034,492 ±33,007",02:52 (00:24),Eforb,Eforb,RPG
217,Two Worlds II HD,"Feb 3, 2011",$19.99,13% (57%/76%),"1,027,875 ±32,901",11:01 (02:57),Reality Pump Studios,"Topware Interactive, ACE",RPG
2925,Infestation: Survivor Stories Classic,,N/A,5% (42%),"1,012,159 ±32,649",49:34 (06:42),OP Productions LLC,OP Productions LLC,RPG
289,Dark Messiah of Might & Magic,"Oct 25, 2006",$9.99,85% (93%/72%),"1,010,229 ±32,618",07:23 (02:31),Arkane Studios,Ubisoft,RPG
1152,MapleStory,"Aug 9, 2012",Free,26% (69%),"986,242 ±32,229",37:37 (01:18),Nexon,Nexon America Inc.,RPG
90,Legend of Grimrock,"Apr 11, 2012",$14.99,89% (94%/82%),"983,760 ±32,189",09:41 (03:25),Almost Human Games,Almost Human Games,RPG
1801,Valkyria Chronicles,11/11/14,$19.99,81% (92%),"966,666 ±31,908",14:51 (05:29),SEGA,SEGA,RPG
9,Divinity: Original Sin 2,"Sep 14, 2017",$44.99,89% (94%/93%),"951,501 ±31,658",55:56 (36:02),Larian Studios,Larian Studios,RPG
100,Kingdoms of Amalur: Reckoning,"Feb 7, 2012",$19.99,64% (87%/81%),"945,987 ±31,566",24:33 (08:35),"Big Huge Games, 38 Studios","38 Studios, Electronic Arts",RPG
400,The Last Remnant,"Apr 9, 2009",$9.99,48% (81%/66%),"945,711 ±31,561",27:18 (02:23),Square Enix,Square Enix,RPG
288,Hammerwatch,"Aug 12, 2013",$9.99,70% (89%/72%),"942,954 ±31,515",07:01 (03:08),Crackshell,Crackshell,RPG
360,CrimeCraft: GangWars,"Aug 22, 2011",Free,8% (48%/68%),"941,851 ±31,497",02:11 (00:06),Vogster Entertainment,Vogster Entertainment,RPG
1531,Overlord: Raising Hell,12/11/09,$9.99,81% (92%),"941,024 ±31,483",09:41 (03:22),"Triumph Studios, Virtual Programming",Codemasters,RPG
204,Risen,"Oct 2, 2009",$9.99,67% (88%/77%),"935,234 ±31,386",14:20 (03:54),Piranha Bytes,Deep Silver,RPG
324,Starpoint Gemini 2,"Sep 26, 2014",$34.99,29% (71%/70%),"931,374 ±31,322",07:11 (03:24),Little Green Men Games,Iceberg Interactive,RPG
79,Deus Ex: Mankind Divided,"Aug 23, 2016",$59.99,24% (67%/83%),"921,448 ±31,155",26:17 (17:34),"Eidos Montreal, Feral Interactive (Linux)","Square Enix, Feral Interactive (Linux)",RPG
211,Secret World Legends,31/07/17,Free,31% (72%/76%),"916,209 ±31,066",35:21 (05:36),Funcom,Funcom,RPG
32,Crypt of the NecroDancer,"Apr 23, 2015",$14.99,97% (97%/87%),"915,382 ±31,052",10:42 (03:44),Brace Yourself Games,"Brace Yourself Games, Klei Entertainment",RPG
294,The Incredible Adventures of Van Helsing,"May 22, 2013",$14.99,53% (83%/72%),"913,177 ±31,015",09:52 (04:06),NeocoreGames,NeocoreGames,RPG
136,Card Hunter,13/07/15,Free,61% (86%/80%),"896,909 ±30,738",10:28 (01:50),Blue Manchu,Blue Manchu,RPG
2405,Shakes and Fidget,"Feb 24, 2016",Free,61% (86%),"894,703 ±30,700",54:29 (01:34),Playa Games GmbH,Playa Games GmbH,RPG
2115,8BitMMO,26/01/15,Free,14% (58%),"884,226 ±30,520",01:15 (00:16),Archive Entertainment,Archive Entertainment,RPG
1003,Dungeons & Dragons Online,25/06/12,Free,34% (74%),"881,469 ±30,472",20:16 (01:12),"Standing Stone Games, LLC","Standing Stone Games, LLC",RPG
236,S.T.A.L.K.E.R.: Clear Sky,"Sep 15, 2008",$9.99,58% (85%/75%),"872,646 ±30,320",16:24 (04:00),GSC Game World,GSC World Publishing,RPG
13,Fallout 3,"Oct 28, 2008",$9.99,44% (79%/91%),"869,613 ±30,267",17:11 (04:02),Bethesda Game Studios,Bethesda Softworks,RPG
17,Dragon Age: Origins,05/11/09,$19.99,85% (93%/91%),"864,926 ±30,186",50:41 (17:45),BioWare,Electronic Arts,RPG
2318,Project Zomboid,08/11/13,$14.99,64% (87%),"861,617 ±30,128",22:08 (06:13),The Indie Stone,The Indie Stone,RPG
303,Champions Online,14/06/11,Free,33% (73%/72%),"857,482 ±30,056",27:45 (02:39),Cryptic Studios,Perfect World Entertainment,RPG
153,Dungeon of the Endless,"Oct 27, 2014",$11.99,74% (90%/79%),"845,074 ±29,838",11:20 (04:02),AMPLITUDE Studios,SEGA,RPG
117,Dragon's Dogma: Dark Arisen,15/01/16,$29.99,70% (89%/81%),"842,593 ±29,794",31:37 (10:05),Capcom,Capcom,RPG
1483,KnightShift,"Sep 27, 2013",$6.99,18% (62%),"837,630 ±29,706",01:40 (00:04),,Topware Interactive,RPG
786,Sacred 2 Gold,"Dec 21, 2012",$14.99,34% (74%),"835,700 ±29,672",16:05 (01:29),Ascaron,Deep Silver,RPG
462,Murdered: Soul Suspect,03/06/14,$29.99,58% (85%/59%),"825,498 ±29,491",05:23 (03:26),Airtight Games,Square Enix,RPG
283,Black Desert Online,"May 24, 2017",$9.99,29% (71%/73%),"824,395 ±29,471",90:19 (08:50),Pearl Abyss,Kakao Games Europe B.V.,RPG
995,Gauntlet Slayer Edition,"Sep 23, 2014",$19.99,38% (76%),"822,465 ±29,437",07:41 (03:33),Arrowhead Game Studios,WB Games,RPG
985,Miscreated,"Oct 30, 2014",$19.99,26% (69%),"815,848 ±29,318",22:19 (05:05),Entrada Interactive LLC,Entrada Interactive LLC,RPG
37,Shadowrun: Dragonfall - Director's Cut,"Sep 18, 2014",$14.99,74% (90%/87%),"810,885 ±29,229",16:39 (05:19),Harebrained Schemes,Harebrained Holdings,RPG
284,Lords Of The Fallen,"Oct 28, 2014",$29.99,14% (58%/73%),"795,445 ±28,950",09:10 (03:42),"CI Games, Deck 13",CI Games,RPG
290,Dungeon Siege III,20/06/11,$14.99,14% (58%/72%),"794,618 ±28,935",12:06 (02:53),Obsidian Entertainment,Square Enix,RPG
129,The Banner Saga,14/01/14,$19.99,70% (89%/80%),"783,038 ±28,724",10:06 (05:22),Stoic,Versus Evil,RPG
1596,La Tale,17/06/14,N/A,N/A (N/A),"771,458 ±28,511",03:25 (00:38),Actoz Soft,OGPlanet,RPG
1307,Royal Quest,"Aug 6, 2014",Free,24% (67%),"767,322 ±28,434",09:55 (00:55),Katauri,1C Online Games,RPG
2795,Metin2,"May 8, 2017",Free,14% (58%),"762,910 ±28,353",11:52 (00:50),WEBZEN Inc.,Gameforge 4D GmbH,RPG
41,Wasteland 2: Director's Cut,"Sep 18, 2014",$39.99,N/A (N/A/86%),"757,396 ±28,250",19:36 (03:43),inXile Entertainment,inXile Entertainment,RPG
850,Divinity II: Developer's Cut,"Oct 29, 2012",$19.99,56% (84%),"753,812 ±28,183",12:07 (01:42),Larian Studios,"Larian Studios, Focus Home Interactive",RPG
